PERMNO,date,TICKER,COMNAM,PRC,CFACPR
11308,19791231,KO,COCA COLA CO,34.50000,48.918179
11308,19800131,KO,COCA COLA CO,35.12500,48.918179
11308,19800229,KO,COCA COLA CO,32.87500,48.918179
11308,19800331,KO,COCA COLA CO,31.50000,48.918179
11308,19800430,KO,COCA COLA CO,33.25000,48.918179
11308,19800530,KO,COCA COLA CO,33.75000,48.918179
11308,19800630,KO,COCA COLA CO,33.00000,48.918179
11308,19800731,KO,COCA COLA CO,37.00000,48.918179
11308,19800829,KO,COCA COLA CO,35.50000,48.918179
11308,19800930,KO,COCA COLA CO,32.25000,48.918179
11308,19801031,KO,COCA COLA CO,30.62500,48.918179
11308,19801128,KO,COCA COLA CO,30.37500,48.918179
11308,19801231,KO,COCA COLA CO,33.37500,48.918179
11308,19810130,KO,COCA COLA CO,33.62500,48.918179
11308,19810227,KO,COCA COLA CO,35.87500,48.918179
11308,19810331,KO,COCA COLA CO,36.87500,48.918179
11308,19810430,KO,COCA COLA CO,34.62500,48.918179
11308,19810529,KO,COCA COLA CO,37.37500,48.918179
11308,19810630,KO,COCA COLA CO,34.75000,48.918179
11308,19810731,KO,COCA COLA CO,34.00000,48.918179
11308,19810831,KO,COCA COLA CO,32.75000,48.918179
11308,19810930,KO,COCA COLA CO,33.75000,48.918179
11308,19811030,KO,COCA COLA CO,36.87500,48.918179
11308,19811130,KO,COCA COLA CO,35.62500,48.918179
11308,19811231,KO,COCA COLA CO,34.75000,48.918179
11308,19820129,KO,COCA COLA CO,32.62500,48.918179
11308,19820226,KO,COCA COLA CO,30.25000,48.918179
11308,19820331,KO,COCA COLA CO,32.75000,48.918179
11308,19820430,KO,COCA COLA CO,34.12500,48.918179
11308,19820528,KO,COCA COLA CO,32.00000,48.918179
11308,19820630,KO,COCA COLA CO,33.75000,48.918179
11308,19820730,KO,COCA COLA CO,36.62500,48.918179
11308,19820831,KO,COCA COLA CO,39.37500,48.918179
11308,19820930,KO,COCA COLA CO,40.75000,48.918179
11308,19821029,KO,COCA COLA CO,43.75000,48.918179
11308,19821130,KO,COCA COLA CO,49.50000,48.918179
11308,19821231,KO,COCA COLA CO,52.00000,48.918179
11308,19830131,KO,COCA COLA CO,50.25000,48.918179
11308,19830228,KO,COCA COLA CO,49.75000,48.918179
11308,19830331,KO,COCA COLA CO,53.50000,48.918179
11308,19830429,KO,COCA COLA CO,55.62500,48.918179
11308,19830531,KO,COCA COLA CO,51.87500,48.918179
11308,19830630,KO,COCA COLA CO,49.87500,48.918179
11308,19830729,KO,COCA COLA CO,46.25000,48.918179
11308,19830831,KO,COCA COLA CO,51.50000,48.918179
11308,19830930,KO,COCA COLA CO,50.87500,48.918179
11308,19831031,KO,COCA COLA CO,52.12500,48.918179
11308,19831130,KO,COCA COLA CO,55.25000,48.918179
11308,19831230,KO,COCA COLA CO,53.50000,48.918179
11308,19840131,KO,COCA COLA CO,50.75000,48.918179
11308,19840229,KO,COCA COLA CO,51.87500,48.918179
11308,19840330,KO,COCA COLA CO,54.87500,48.918179
11308,19840430,KO,COCA COLA CO,54.87500,48.918179
11308,19840531,KO,COCA COLA CO,55.00000,48.918179
11308,19840629,KO,COCA COLA CO,57.62500,48.918179
11308,19840731,KO,COCA COLA CO,59.50000,48.918179
11308,19840831,KO,COCA COLA CO,61.87500,48.918179
11308,19840928,KO,COCA COLA CO,62.62500,48.918179
11308,19841031,KO,COCA COLA CO,65.00000,48.918179
11308,19841130,KO,COCA COLA CO,61.87500,48.918179
11308,19841231,KO,COCA COLA CO,62.37500,48.918179
11308,19850131,KO,COCA COLA CO,60.00000,48.918179
11308,19850228,KO,COCA COLA CO,63.50000,48.918179
11308,19850329,KO,COCA COLA CO,70.00000,48.918179
11308,19850430,KO,COCA COLA CO,68.50000,48.918179
11308,19850531,KO,COCA COLA CO,67.87500,48.918179
11308,19850628,KO,COCA COLA CO,69.37500,48.918179
11308,19850731,KO,COCA COLA CO,72.25000,48.918179
11308,19850830,KO,COCA COLA CO,71.62500,48.918179
11308,19850930,KO,COCA COLA CO,69.75000,48.918179
11308,19851031,KO,COCA COLA CO,71.62500,48.918179
11308,19851129,KO,COCA COLA CO,83.25000,48.918179
11308,19851231,KO,COCA COLA CO,84.50000,48.918179
11308,19860131,KO,COCA COLA CO,83.87500,48.918179
11308,19860228,KO,COCA COLA CO,96.25000,48.918179
11308,19860331,KO,COCA COLA CO,105.25000,48.918179
