Date,Open,High,Low,Close,Adj Close,Volume
2011-01-01,73.379997,75.150002,72.129997,73.139999,63.606075,8154100
2011-02-01,73.720001,78.599998,73.599998,77.180000,67.119446,13482000
2011-03-01,77.500000,79.029999,72.800003,78.989998,68.693520,13064300
2011-04-01,79.550003,81.519997,76.610001,81.309998,70.716682,4884900
2011-05-01,81.809998,81.849998,76.279999,79.720001,69.333832,7277300
2011-06-01,79.629997,79.629997,72.970001,78.050003,67.881409,10181800
2011-07-01,78.160004,81.209999,73.830002,75.220001,65.420120,6614800
2011-08-01,76.160004,76.570000,60.509998,68.940002,59.958279,30356300
2011-09-01,68.949997,69.750000,60.549999,61.369999,53.374538,16961400
2011-10-01,60.730000,73.370003,57.250000,70.750000,61.532482,9155700
2011-11-01,67.989998,72.220001,64.099998,70.440002,61.262852,4701000
2011-12-01,70.120003,71.900002,67.139999,69.669998,60.593182,7197700
2012-01-01,71.220001,75.430000,69.250000,74.510002,65.673927,7913700
2012-02-01,75.250000,78.690002,75.050003,76.949997,67.824547,8297300
2012-03-01,77.330002,80.099998,74.500000,78.720001,69.384666,7000000
2012-04-01,78.459999,79.650002,74.540001,77.919998,68.696175,6290600
2012-05-01,77.989998,79.269997,70.959999,72.680000,64.076447,7996600
2012-06-01,71.000000,76.099998,69.430000,76.040001,67.038704,7577600
2012-07-01,76.379997,78.000000,73.110001,75.279999,66.368668,6236200
2012-08-01,75.669998,79.230003,73.389999,77.959999,68.731415,4079400
2012-09-01,77.680000,83.400002,77.529999,80.139999,70.653343,4346700
2012-10-01,80.419998,81.849998,77.849998,78.989998,69.639503,4276000
2012-11-01,79.099998,80.629997,74.480003,79.980003,70.512299,5973700
2012-12-01,80.580002,82.839996,78.949997,80.900002,71.323387,7453000
2013-01-01,82.849998,86.629997,82.570000,86.040001,77.247932,8888000
2013-02-01,86.690002,89.050003,85.260002,87.120003,78.217583,8101300
2013-03-01,86.629997,91.430000,85.940002,91.150002,81.835777,8475800
2013-04-01,91.139999,91.720001,86.849998,91.419998,82.093666,8854600
2013-05-01,91.169998,97.480003,89.639999,94.709999,85.048027,6032400
2013-06-01,95.000000,95.970001,89.919998,93.709999,84.150040,7485100
2013-07-01,94.339996,100.930000,94.339996,100.070000,89.861206,7940900
2013-08-01,101.000000,102.000000,96.750000,96.830002,86.951782,5966700
2013-09-01,98.120003,103.680000,96.470001,102.489998,92.034355,7124200
2013-10-01,102.269997,107.389999,99.339996,105.750000,94.961769,7282700
2013-11-01,105.949997,109.139999,103.959999,108.620003,97.539001,7502700
2013-12-01,108.769997,110.690002,105.699997,109.949997,98.733292,10052400
2014-01-01,109.690002,111.800003,106.139999,107.690002,97.964195,8303700
2014-02-01,107.489998,114.050003,103.510002,113.160004,102.940193,8015500
2014-03-01,112.199997,115.449997,110.290001,112.949997,102.749146,8198100
2014-04-01,113.059998,114.739998,106.769997,110.190002,100.246422,7807400
2014-05-01,110.309998,112.070000,106.930000,111.580002,101.510986,6352600
2014-06-01,112.010002,117.150002,110.650002,117.120003,106.551048,6347900
2014-07-01,117.709999,118.750000,111.239998,111.239998,101.201660,7327900
2014-08-01,111.330002,116.970001,110.129997,116.870003,106.323593,6418600
2014-09-01,117.129997,117.900002,110.629997,110.629997,100.646690,6095000
2014-10-01,110.519997,116.050003,103.199997,115.629997,105.195503,13205800
2014-11-01,115.980003,118.500000,114.489998,116.849998,106.305405,8429900
2014-12-01,116.489998,118.449997,112.000000,116.660004,106.132576,14254700
2015-01-01,117.250000,117.510002,112.160004,114.160004,105.348679,10480700
2015-02-01,114.379997,121.459999,112.849998,120.779999,111.457733,7588300
2015-03-01,120.849998,123.900002,117.910004,122.559998,113.100349,10478900
2015-04-01,122.160004,124.400002,119.650002,120.059998,110.840179,10179000
2015-05-01,120.440002,124.000000,119.220001,122.480003,113.074348,8571000
2015-06-01,123.269997,125.510002,120.930000,121.470001,112.141891,8574400
2015-07-01,122.610001,123.430000,117.519997,121.120003,111.818779,11728000
2015-08-01,121.150002,121.860001,90.029999,114.059998,105.300941,16214100
2015-09-01,112.919998,117.410004,105.860001,107.949997,99.660141,11761600
2015-10-01,107.970001,115.129997,106.250000,114.080002,106.231453,9554100
2015-11-01,114.230003,117.040001,111.269997,116.129997,108.140404,8343900
2015-12-01,116.750000,117.089996,108.379997,110.639999,103.028122,16293700
2016-01-01,109.000000,109.290001,94.250000,102.290001,95.792641,20183900
2016-02-01,101.680000,104.250000,93.910004,103.080002,96.532455,14510300
2016-03-01,103.900002,111.900002,103.480003,111.489998,104.408249,12686500
2016-04-01,110.769997,115.680000,108.910004,113.459999,106.552361,9213000
2016-05-01,113.809998,116.010002,109.500000,115.599998,108.562088,12788700
2016-06-01,115.190002,118.849998,108.790001,115.680000,108.637222,14629000
2016-07-01,115.730003,121.860001,113.730003,121.470001,114.377037,14239000
