Date,Open,High,Low,Close,Adj Close,Volume
2011-01-01,59.970001,60.439999,58.500000,58.810001,45.028736,453900
2011-02-01,58.540001,59.590000,57.200001,59.439999,45.659843,939700
2011-03-01,59.139999,60.939999,58.169998,59.180000,45.608601,90200
2011-04-01,59.150002,60.450001,58.139999,60.270000,46.604511,78500
2011-05-01,60.320000,62.160000,60.320000,62.090000,48.164551,93700
2011-06-01,62.349998,62.930000,60.189999,60.700001,47.231441,219000
2011-07-01,60.630001,62.919998,60.369999,62.919998,49.118469,139200
2011-08-01,62.889999,70.830002,62.849998,68.230003,53.435909,414000
2011-09-01,68.550003,76.809998,67.750000,74.830002,58.775089,614300
2011-10-01,75.650002,77.160004,69.190002,71.839996,56.573944,490300
2011-11-01,73.900002,76.129997,72.190002,73.209999,57.810436,490700
2011-12-01,72.709999,76.639999,72.379997,75.110001,59.458069,421200
2012-01-01,74.690002,75.589996,72.320000,75.089996,59.595440,258300
2012-02-01,74.739998,74.739998,72.029999,73.379997,58.372341,289700
2012-03-01,72.720001,73.680000,69.110001,70.040001,55.857925,279000
2012-04-01,70.889999,73.860001,69.620003,73.139999,58.479294,142000
2012-05-01,73.440002,79.300003,72.470001,78.730003,63.110466,660800
2012-06-01,80.370003,82.000000,76.980003,77.360001,62.152264,421400
2012-07-01,77.540001,81.180000,77.540001,79.610001,64.108482,818900
2012-08-01,79.190002,80.190002,75.089996,78.750000,63.561855,507600
2012-09-01,78.660004,78.800003,73.839996,77.080002,62.353756,545200
2012-10-01,76.959999,77.330002,74.809998,76.760002,62.240124,667800
2012-11-01,76.529999,78.750000,75.480003,77.309998,62.686119,362400
2012-12-01,76.900002,78.169998,74.820000,75.300003,61.323517,659600
2013-01-01,74.580002,75.059998,72.650002,73.019997,59.713467,2641300
2013-02-01,73.500000,74.550003,72.250000,73.750000,60.424770,298900
2013-03-01,74.080002,74.300003,71.809998,73.510002,60.361412,410100
2013-04-01,73.449997,76.779999,73.449997,76.209999,62.713486,780600
2013-05-01,76.639999,77.040001,70.730003,71.400002,58.892166,2199700
2013-06-01,71.120003,72.750000,67.489998,68.769997,56.863178,478500
2013-07-01,69.790001,69.790001,66.400002,67.370003,55.857029,185900
2013-08-01,66.879997,67.480003,63.720001,66.699997,55.443134,718800
2013-09-01,65.690002,67.199997,64.419998,66.750000,55.648647,297000
2013-10-01,66.750000,68.260002,65.720001,67.279999,56.227242,254400
2013-11-01,67.070000,67.070000,64.660004,65.480003,54.858459,163800
2013-12-01,65.430000,65.620003,63.919998,64.010002,53.779156,589900
2014-01-01,64.120003,68.010002,64.120003,67.970001,57.244064,685100
2014-02-01,67.690002,68.550003,66.489998,68.110001,57.361916,441400
2014-03-01,68.290001,69.089996,66.410004,68.419998,57.789650,343100
2014-04-01,67.900002,69.930000,67.260002,69.529999,58.884537,335800
2014-05-01,69.430000,71.839996,69.250000,71.209999,60.456631,268200
2014-06-01,70.720001,71.169998,69.389999,70.940002,60.384605,239700
2014-07-01,70.360001,72.339996,69.070000,71.120003,60.685265,301000
2014-08-01,70.949997,74.209999,70.709999,73.989998,63.293011,448300
2014-09-01,75.680000,75.680000,70.410004,72.360001,62.053093,568800
2014-10-01,72.820000,80.000000,72.709999,74.150002,63.741470,931000
2014-11-01,73.940002,75.949997,73.459999,75.790001,65.308281,619500
2014-12-01,76.019997,78.709999,74.559998,77.769997,67.176628,976300
2015-01-01,78.129997,84.699997,77.900002,84.500000,73.326424,1490100
2015-02-01,83.709999,84.360001,77.639999,79.699997,69.161148,1235500
2015-03-01,79.360001,81.680000,75.959999,80.320000,69.836349,1225400
2015-04-01,80.779999,81.379997,76.940002,77.849998,68.097641,954100
2015-05-01,77.000000,77.129997,73.419998,75.919998,66.543617,1360000
2015-06-01,75.570000,75.699997,71.500000,73.059998,64.183601,649600
2015-07-01,72.040001,76.029999,71.739998,75.830002,66.764847,702500
2015-08-01,75.739998,79.389999,75.000000,75.540001,66.672798,1074700
2015-09-01,75.300003,76.889999,73.599998,76.440002,67.619682,738100
2015-10-01,76.680000,77.930000,75.349998,75.430000,66.872925,1213500
2015-11-01,75.339996,75.620003,73.199997,75.160004,66.788223,889500
2015-12-01,75.059998,76.629997,73.760002,74.620003,66.308357,1031300
2016-01-01,75.269997,78.860001,74.650002,78.519997,70.121422,2204700
2016-02-01,78.209999,83.050003,77.980003,80.570000,71.952187,3368600
2016-03-01,80.540001,80.599998,78.400002,80.410004,71.941216,1677900
2016-04-01,80.559998,81.779999,78.410004,80.000000,71.717705,2718800
2016-05-01,79.250000,81.440002,78.809998,80.349998,72.176888,2637900
2016-06-01,80.449997,85.879997,80.120003,85.129997,76.637329,1733900
2016-07-01,86.349998,87.919998,84.059998,86.739998,78.243538,4131900
2016-08-01,85.639999,86.230003,84.139999,85.680000,77.442909,2775400
2016-09-01,84.989998,86.000000,81.809998,84.459999,76.486580,3066000
2016-10-01,84.360001,84.440002,80.010002,80.709999,73.230782,1912800
2016-11-01,80.040001,81.110001,73.849998,74.320000,67.565704,5169300
2016-12-01,73.370003,74.470001,72.209999,73.690002,67.126038,3198400
2017-01-01,73.199997,75.879997,73.040001,74.120003,67.839523,3121300
2017-02-01,73.629997,75.419998,73.250000,75.190002,68.818871,1909700
2017-03-01,73.769997,75.300003,72.089996,74.540001,68.361359,1890500
2017-04-01,74.410004,77.120003,74.379997,75.570000,69.462097,1653600
2017-05-01,75.129997,76.879997,74.080002,76.739998,70.684532,1481600
2017-06-01,76.320000,79.180000,76.309998,77.080002,71.156837,3271900
2017-07-01,76.940002,77.699997,75.639999,76.489998,70.764320,1620000
2017-08-01,76.040001,79.139999,76.040001,78.820000,73.071594,1654200
2017-09-01,78.419998,79.709999,76.500000,76.889999,71.444862,1390500
2017-10-01,76.839996,77.639999,75.500000,76.660004,71.380569,1835300
2017-11-01,76.620003,78.269997,76.440002,77.029999,71.888718,1705200
2017-12-01,77.400002,79.000000,76.309998,78.000000,72.936684,1279500
2018-01-01,77.809998,77.839996,74.949997,75.510002,70.935974,3511100
2018-02-01,75.400002,75.410004,71.849998,73.080002,68.653175,3460600
2018-03-01,72.930000,75.190002,72.410004,75.019997,70.625313,1343700
2018-04-01,74.680000,75.260002,71.949997,73.320000,69.164970,1392100
2018-05-01,73.059998,75.260002,71.470001,74.529999,70.470795,2916700
2018-06-01,73.849998,75.239998,72.849998,74.779999,70.869553,2259400
2018-07-01,74.820000,75.500000,73.180000,73.599998,69.908844,3067000
2018-08-01,72.769997,75.139999,72.650002,74.389999,70.822128,2339500
2018-09-01,73.760002,73.949997,71.580002,72.169998,68.872375,1559900
2018-10-01,71.750000,72.040001,69.400002,69.949997,66.911194,2616100
2018-11-01,69.559998,71.260002,68.970001,71.070000,68.143066,3648300
2018-12-01,70.660004,75.209999,70.660004,74.709999,71.807678,3970500
2019-01-01,74.839996,76.180000,73.470001,75.070000,72.498619,5977200
2019-02-01,74.720001,75.389999,73.730003,73.940002,71.407333,3753300
2019-03-01,73.470001,77.910004,73.059998,77.760002,75.270935,6634100
2019-04-01,77.059998,77.070000,75.129997,76.089996,73.817116,3610500
2019-05-01,76.070000,81.050003,75.690002,81.019997,78.779175,5547900
2019-06-01,81.040001,82.010002,80.010002,81.650002,79.569550,6678500
2019-07-01,81.430000,82.489998,79.750000,81.720001,79.815086,4438200
2019-08-01,81.949997,91.209999,81.889999,90.230003,88.308411,10293100
2019-09-01,90.120003,91.000000,83.830002,87.739998,86.058899,7023900
2019-10-01,86.629997,89.500000,84.080002,86.610001,85.112778,7781900
2019-11-01,86.320000,86.650002,82.529999,86.110001,84.784721,6598800
2019-12-01,84.720001,86.879997,83.110001,83.269997,82.148727,5186800
2020-01-01,83.750000,89.419998,83.379997,89.339996,88.482430,5317100
2020-02-01,88.820000,95.430000,86.940002,95.059998,94.147514,10275800
2020-03-01,95.010002,109.760002,85.320000,101.010002,100.225510,20642900
2020-04-01,103.419998,104.930000,99.760002,101.820000,101.184624,9448000
2020-05-01,102.139999,102.760002,98.830002,99.910004,99.457870,6113300
2020-06-01,99.059998,100.919998,93.709999,100.099998,99.798935,9021000
2020-07-01,99.440002,102.559998,98.830002,102.050003,101.901161,4021500
